Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,5.1,5.075,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/02 00:00:00,2023/01/02 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,2.3,2.3,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/03 00:00:00,2023/01/03 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.4,1.375,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/04 00:00:00,2023/01/04 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,0.9,0.86667,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/05 00:00:00,2023/01/05 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,0.8,0.825,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/06 00:00:00,2023/01/06 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.2,1.15,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/07 00:00:00,2023/01/07 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.6,1.55,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/08 00:00:00,2023/01/08 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.3,1.275,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/09 00:00:00,2023/01/09 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.0,0.96667,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/10 00:00:00,2023/01/10 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.1,1.05,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/11 00:00:00,2023/01/11 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,0.5,0.525,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/12 00:00:00,2023/01/12 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.3,1.275,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/13 00:00:00,2023/01/13 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,1.0,0.96667,µg-m3,92.0,100,92.0,R,1,47.324097,-2.081567,1.0
2023/01/14 00:00:00,2023/01/14 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,2.9,2.85,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
2023/01/15 00:00:00,2023/01/15 23:59:59,AIR PAYS DE LA LOIRE,FR52ZAG01,ZAG NANTES-SAINT-NAZAIRE,FR23001,AMPERE,Périurbaine,SO2,Industrielle,Oui,mesures fixes,Max. journalier moy. hor.,3.8,3.775,µg-m3,100.0,100,100.0,R,1,47.324097,-2.081567,1.0
