Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/04/12 00:00:00,2023/04/12 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,94.7,94.65,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/13 00:00:00,2023/04/13 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,88.7,88.7,µg-m3,83.0,100,83.0,R,1,46.823796,-0.135634,2.0
2023/04/14 00:00:00,2023/04/14 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.0,82.975,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/15 00:00:00,2023/04/15 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,94.0,94.0,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/16 00:00:00,2023/04/16 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,100.0,100.025,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/17 00:00:00,2023/04/17 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,93.3,93.25,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/18 00:00:00,2023/04/18 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,24.0,24.1708333333,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/19 00:00:00,2023/04/19 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,96.3,96.275,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/20 00:00:00,2023/04/20 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,112.1,112.05,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,3.0
2023/04/21 00:00:00,2023/04/21 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,98.1,98.125,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/22 00:00:00,2023/04/22 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,97.8,97.75,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/23 00:00:00,2023/04/23 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,92.2,92.2,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/24 00:00:00,2023/04/24 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,97.8,97.775,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/25 00:00:00,2023/04/25 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,87.1,87.05,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/26 00:00:00,2023/04/26 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,65.8,65.825,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
2023/04/27 00:00:00,2023/04/27 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,60.9,60.9,µg-m3,100.0,100,100.0,R,1,46.823796,-0.135634,2.0
2023/04/28 00:00:00,2023/04/28 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,51.0,51.025,µg-m3,100.0,100,100.0,A,1,46.823796,-0.135634,2.0
2023/04/29 00:00:00,2023/04/29 23:59:59,ATMO NOUVELLE-AQUITAINE,FR75ZRE02,ZR NOUVELLE-AQUITAINE,FR09304,AIRVAULT - Stade Laillé,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.1,69.1,µg-m3,96.0,100,96.0,R,1,46.823796,-0.135634,2.0
