Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,64.3,64.275,µg-m3,100.0,100,100.0,R,1,47.594256,1.302667,2.0
2023/01/02 00:00:00,2023/01/02 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,75.2,75.225,µg-m3,96.0,100,96.0,R,1,47.594256,1.302667,2.0
2023/01/03 00:00:00,2023/01/03 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.3,69.275,µg-m3,88.0,100,88.0,A,1,47.594256,1.302667,2.0
2023/01/04 00:00:00,2023/01/04 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.8,69.75,µg-m3,100.0,100,100.0,R,1,47.594256,1.302667,2.0
2023/01/05 00:00:00,2023/01/05 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.3,73.3,µg-m3,100.0,100,100.0,R,1,47.594256,1.302667,2.0
2023/01/06 00:00:00,2023/01/06 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.7,69.7,µg-m3,100.0,100,100.0,A,1,47.594256,1.302667,2.0
2023/01/07 00:00:00,2023/01/07 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,66.3,66.3,µg-m3,100.0,100,100.0,A,1,47.594256,1.302667,2.0
2023/01/08 00:00:00,2023/01/08 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,85.7,85.7,µg-m3,100.0,100,100.0,A,1,47.594256,1.302667,2.0
2023/01/09 00:00:00,2023/01/09 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,82.9,82.925,µg-m3,100.0,100,100.0,R,1,47.594256,1.302667,2.0
2023/01/10 00:00:00,2023/01/10 23:59:59,LIG'AIR,FR24ZAR02,ZAR BLOIS,FR34061,Blois nord,Urbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,63.8,63.775,µg-m3,100.0,100,100.0,A,1,47.594256,1.302667,2.0
