Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,28.0,28.3791666667,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/02 00:00:00,2023/01/02 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,24.0,23.625,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/03 00:00:00,2023/01/03 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,29.0,29.2458333333,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/04 00:00:00,2023/01/04 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,25.0,24.9090909091,µg-m3,46.0,100,46.0,N,-1,41.92575,8.738278,2.0
2023/01/05 00:00:00,2023/01/05 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,56.0,55.975,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/06 00:00:00,2023/01/06 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,23.0,22.9076923077,µg-m3,54.0,100,54.0,N,-1,41.92575,8.738278,2.0
2023/01/07 00:00:00,2023/01/07 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,22.0,22.4375,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/08 00:00:00,2023/01/08 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,30.0,29.6708333333,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/09 00:00:00,2023/01/09 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,31.0,31.3208333333,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/10 00:00:00,2023/01/10 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,38.0,38.2,µg-m3,96.0,100,96.0,R,1,41.92575,8.738278,2.0
2023/01/11 00:00:00,2023/01/11 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,29.0,28.9833333333,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/12 00:00:00,2023/01/12 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,31.0,31.35,µg-m3,100.0,100,100.0,R,1,41.92575,8.738278,2.0
2023/01/13 00:00:00,2023/01/13 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,33.0,32.9375,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/14 00:00:00,2023/01/14 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,25.0,24.5666666667,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/15 00:00:00,2023/01/15 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,25.0,24.6416666667,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/16 00:00:00,2023/01/16 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,25.0,25.0791666667,µg-m3,100.0,100,100.0,R,1,41.92575,8.738278,2.0
2023/01/17 00:00:00,2023/01/17 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,23.0,23.0291666667,µg-m3,100.0,100,100.0,R,1,41.92575,8.738278,2.0
2023/01/18 00:00:00,2023/01/18 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,21.0,21.3434782609,µg-m3,96.0,100,96.0,A,1,41.92575,8.738278,2.0
2023/01/19 00:00:00,2023/01/19 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,27.0,27.1291666667,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/20 00:00:00,2023/01/20 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,21.0,20.8375,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/21 00:00:00,2023/01/21 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,54.4,54.35,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/22 00:00:00,2023/01/22 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,NO2,Trafic,Oui,mesures fixes,Max. journalier moy. hor.,53.4,53.425,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/23 00:00:00,2023/01/23 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,23.0,23.4625,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/24 00:00:00,2023/01/24 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,26.0,25.9041666667,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
2023/01/25 00:00:00,2023/01/25 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,30.0,29.6666666667,µg-m3,100.0,100,100.0,R,1,41.92575,8.738278,2.0
2023/01/26 00:00:00,2023/01/26 23:59:59,QUALITAIR CORSE,FR94ZAR01,ZAR AJACCIO,FR41059,AJACCIO ABBATUCCI,Urbaine,PM10,Trafic,Oui,mesures fixes,Moy. journalière,27.0,26.5458333333,µg-m3,100.0,100,100.0,A,1,41.92575,8.738278,2.0
