Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,81.9,81.85,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/02 00:00:00,2023/01/02 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,82.1,82.1,µg-m3,96.0,100,96.0,A,1,48.359444,-4.568055,2.0
2023/01/03 00:00:00,2023/01/03 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.2,83.225,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/04 00:00:00,2023/01/04 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.5,78.5,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/05 00:00:00,2023/01/05 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.5,77.475,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/06 00:00:00,2023/01/06 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.2,76.225,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/07 00:00:00,2023/01/07 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,90.4,90.35,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/08 00:00:00,2023/01/08 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,85.5,85.45,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/09 00:00:00,2023/01/09 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,85.1,85.1,µg-m3,96.0,100,96.0,A,1,48.359444,-4.568055,2.0
2023/01/10 00:00:00,2023/01/10 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.0,82.95,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/11 00:00:00,2023/01/11 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,79.7,79.7,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/12 00:00:00,2023/01/12 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.8,83.775,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/13 00:00:00,2023/01/13 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,81.4,81.35,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
2023/01/14 00:00:00,2023/01/14 23:59:59,AIR BREIZH,FR53ZAR01,ZAR BREST,FR19016,BREST Plouzané,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.8,83.825,µg-m3,100.0,100,100.0,A,1,48.359444,-4.568055,2.0
