Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.4,73.43333,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/02 00:00:00,2023/01/02 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.0,75.96667,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/03 00:00:00,2023/01/03 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.6,69.6,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/04 00:00:00,2023/01/04 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,76.0,75.95,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/05 00:00:00,2023/01/05 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,PM10,Fond,Oui,mesures fixes,Moy. journalière,22.0,22.25,µg-m3,100.0,100,100.0,A,1,50.129448,1.610833,2.0
2023/01/06 00:00:00,2023/01/06 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,71.1,71.06667,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/07 00:00:00,2023/01/07 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,79.5,79.475,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/08 00:00:00,2023/01/08 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.7,83.65,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/09 00:00:00,2023/01/09 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,83.6,83.6,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
2023/01/10 00:00:00,2023/01/10 23:59:59,ATMO HAUTS DE FRANCE,FR32ZRE01,ZR HAUTS-DE-FRANCE,FR18039,Arrest,Rurale régionale,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.2,77.15,µg-m3,100.0,100,100.0,R,1,50.129448,1.610833,2.0
