Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,73.3,73.3,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/02 00:00:00,2023/01/02 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,47.7,47.65,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/03 00:00:00,2023/01/03 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,72.5,72.525,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/04 00:00:00,2023/01/04 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,74.0,74.025,µg-m3,100.0,100,100.0,R,1,48.445553,0.110833,2.0
2023/01/05 00:00:00,2023/01/05 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.6,69.575,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/06 00:00:00,2023/01/06 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,69.3,69.3,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/07 00:00:00,2023/01/07 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,81.2,81.16667,µg-m3,100.0,100,100.0,R,1,48.445553,0.110833,2.0
2023/01/08 00:00:00,2023/01/08 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,77.3,77.3,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/09 00:00:00,2023/01/09 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,78.9,78.875,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
2023/01/10 00:00:00,2023/01/10 23:59:59,ATMO NORMANDIE,FR28ZRE02,ZR NORMANDIE,FR21031,Alençon Météo-France,Périurbaine,O3,Fond,Oui,mesures fixes,Max. journalier moy. hor.,64.0,64.025,µg-m3,100.0,100,100.0,A,1,48.445553,0.110833,2.0
