Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,ATMO Score
2023/01/01 00:00:00,2023/01/01 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,18.0,18.2583333333,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/02 00:00:00,2023/01/02 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,65.8,65.75,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,2.0
2023/01/03 00:00:00,2023/01/03 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,20.0,20.2181818182,µg-m3,46.0,100,46.0,N,-1,43.927769,2.145897,1.0
2023/01/04 00:00:00,2023/01/04 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,20.0,19.7583333333,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/05 00:00:00,2023/01/05 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,30.0,30.3916666667,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,2.0
2023/01/06 00:00:00,2023/01/06 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,28.0,27.8666666667,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,2.0
2023/01/07 00:00:00,2023/01/07 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,51.3,51.25,µg-m3,100.0,100,100.0,R,1,43.927769,2.145897,2.0
2023/01/08 00:00:00,2023/01/08 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,20.0,19.8083333333,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/09 00:00:00,2023/01/09 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,9.0,8.5666666667,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/10 00:00:00,2023/01/10 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,21.0,21.3041666667,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,2.0
2023/01/11 00:00:00,2023/01/11 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,51.3,51.25,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,2.0
2023/01/12 00:00:00,2023/01/12 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,25.0,24.6041666667,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,2.0
2023/01/13 00:00:00,2023/01/13 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,NO2,Fond,Oui,mesures fixes,Max. journalier moy. hor.,55.1,55.05,µg-m3,100.0,100,100.0,R,1,43.927769,2.145897,2.0
2023/01/14 00:00:00,2023/01/14 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,12.0,11.6083333333,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/15 00:00:00,2023/01/15 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,9.0,9.1416666667,µg-m3,100.0,100,100.0,R,1,43.927769,2.145897,1.0
2023/01/16 00:00:00,2023/01/16 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,13.0,13.2791666667,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/17 00:00:00,2023/01/17 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,9.0,8.9409090909,µg-m3,92.0,100,92.0,A,1,43.927769,2.145897,1.0
2023/01/18 00:00:00,2023/01/18 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,6.0,5.6208333333,µg-m3,100.0,100,100.0,A,1,43.927769,2.145897,1.0
2023/01/19 00:00:00,2023/01/19 23:59:59,ATMO OCCITANIE,FR76ZRE01,ZR OCCITANIE,FR12026,ALBI DELMAS,Urbaine,PM10,Fond,Oui,mesures fixes,Moy. journalière,8.0,7.6545454545,µg-m3,92.0,100,92.0,A,1,43.927769,2.145897,1.0
